Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
Santos A.M.M.; Rodrigues H.R.; Filho R.F.F.; Nogueira Y.L.B.; Vidal C.A.; Cavalcante-Neto J.B.; Franco A.O.R.; Serafim P.B.S.,"Santos, Alexandre M. M. (57219553169); Rodrigues, Halisson R. (58872919400); Filho, Romulo F. Férrer (57221558650); Nogueira, Yuri L. B. (25930078300); Vidal, Creto A. (57193658619); Cavalcante-Neto, Joaquim B. (10438852800); Franco, Artur O. R. (57211473134); Serafim, Paulo B. S. (57202956710)",57219553169; 58872919400; 57221558650; 25930078300; 57193658619; 10438852800; 57211473134; 57202956710,Unveiling the Key Features Influencing Game Agents with Different Levels of Robustness,2023,ACM International Conference Proceeding Series,,,,86,95,9,0,10.1145/3631085.3631230,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184520743&doi=10.1145%2f3631085.3631230&partnerID=40&md5=832901915bcbadaab8ccdf93aa927bdf,Conference paper,Final,,Scopus,2-s2.0-85184520743
Liu X.; Liu S.; An B.; Gao Y.; Yang S.; Li W.,"Liu, Xiao (59120062500); Liu, Shuyang (57546665700); An, Bo (8901577100); Gao, Yang (56403534500); Yang, Shangdong (57191415544); Li, Wenbin (57089688500)",59120062500; 57546665700; 8901577100; 56403534500; 57191415544; 57089688500,Effective Interpretable Policy Distillation via Critical Experience Point Identification,2023,IEEE Intelligent Systems,38,5,,28,36,8,1,10.1109/MIS.2023.3265868,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153386324&doi=10.1109%2fMIS.2023.3265868&partnerID=40&md5=8d123d7f4bbf79352ea98613a9dc1e43,Article,Final,,Scopus,2-s2.0-85153386324
,,,"ICYRIME 2023 - Proceedings of the 8th International Conference of Yearly Reports on Informatics, Mathematics, and Engineering",2023,CEUR Workshop Proceedings,3684,,,,,77,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194141815&partnerID=40&md5=13039998b81096dbf28ff9754b21b8e8,Conference review,Final,,Scopus,2-s2.0-85194141815
Bellanger T.; Le Berre M.; Clergue M.; Hao J.-K.,"Bellanger, Thibaut (58531342100); Le Berre, Matthieu (55209886400); Clergue, Manuel (13103710900); Hao, Jin-Kao (7202839437)",58531342100; 55209886400; 13103710900; 7202839437,A One-Vs-One Approach to Improve Tangled Program Graph Performance on Classification Tasks,2023,International Joint Conference on Computational Intelligence,,,,53,63,10,1,10.5220/0012167700003595,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188247572&doi=10.5220%2f0012167700003595&partnerID=40&md5=dd48ca0c95801590b4d5f3561311cd7a,Conference paper,Final,,Scopus,2-s2.0-85188247572
Li Q.; Yu Y.; Kossinna P.; Lun T.; Liao W.; Zhang Q.,"Li, Qing (57191695778); Yu, Yang (58024712700); Kossinna, Pathum (57214801947); Lun, Theodore (58546656400); Liao, Wenyuan (13609785800); Zhang, Qingrun (15752326700)",57191695778; 58024712700; 57214801947; 58546656400; 13609785800; 15752326700,XA4C: eXplainable representation learning via Autoencoders revealing Critical genes,2023,PLoS Computational Biology,19,10 October,e1011476,,,,2,10.1371/journal.pcbi.1011476,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174140364&doi=10.1371%2fjournal.pcbi.1011476&partnerID=40&md5=47bad1c9cd50c36bd3a1829746f18bb1,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85174140364
Zhu H.; Wilson S.; Feron E.,"Zhu, Hanqing (58127417400); Wilson, Sean (56399813600); Feron, Eric (57204341846)",58127417400; 56399813600; 57204341846,"The Design, Education and Evolution of a Robotic Baby",2023,IEEE Transactions on Robotics,39,3,,2488,2507,19,1,10.1109/TRO.2023.3240619,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149376628&doi=10.1109%2fTRO.2023.3240619&partnerID=40&md5=a1d016b65d5a206f26d18579ed4d1d26,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85149376628
Liu Z.; Duan Q.,"Liu, Zhaoyi (58366406100); Duan, Qianqian (55886692100)",58366406100; 55886692100,Neural Combinatorial Optimization with Explanation,2023,Neural Processing Letters,55,4,,4075,4090,15,0,10.1007/s11063-022-11028-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138825414&doi=10.1007%2fs11063-022-11028-9&partnerID=40&md5=a58ae73777f2797fd22ca59e33f3be62,Article,Final,,Scopus,2-s2.0-85138825414
,,,"Proceedings - 27th Pan-Hellenic Conference on Progress in Computing and Informatics, PCI 2023",2023,ACM International Conference Proceeding Series,,,,,,299,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187712329&partnerID=40&md5=955a82807ad1dc525f6bb31dede06ec9,Conference review,Final,,Scopus,2-s2.0-85187712329
Cruz F.; Dazeley R.; Vamplew P.; Moreira I.,"Cruz, Francisco (57190723414); Dazeley, Richard (6507048982); Vamplew, Peter (9279870300); Moreira, Ithan (57218618637)",57190723414; 6507048982; 9279870300; 57218618637,Explainable robotic systems: understanding goal-driven actions in a reinforcement learning scenario,2023,Neural Computing and Applications,35,25,,18113,18130,17,9,10.1007/s00521-021-06425-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113812498&doi=10.1007%2fs00521-021-06425-5&partnerID=40&md5=93b54975f6807d4386126ae8147fa392,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85113812498
Valverde G.; Quesada D.; Larrañaga P.; Bielza C.,"Valverde, Gabriel (58479605600); Quesada, David (57714653700); Larrañaga, Pedro (7004720416); Bielza, Concha (55897143900)",58479605600; 57714653700; 7004720416; 55897143900,Causal reinforcement learning based on Bayesian networks applied to industrial settings,2023,Engineering Applications of Artificial Intelligence,125,,106657,,,,3,10.1016/j.engappai.2023.106657,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164285793&doi=10.1016%2fj.engappai.2023.106657&partnerID=40&md5=13270bba9520529d8edec23f831f2764,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85164285793
Wang D.,"Wang, Di (58973069700)",58973069700,Explainable deep reinforcement learning for knowledge graph reasoning,2023,Recent Developments in Machine and Human Intelligence,,,,168,183,15,4,10.4018/978-1-6684-9189-8.ch012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174350195&doi=10.4018%2f978-1-6684-9189-8.ch012&partnerID=40&md5=36c8e5232eab457d4fd205be74e4181a,Book chapter,Final,,Scopus,2-s2.0-85174350195
Ferigo A.; Custode L.L.; Iacca G.,"Ferigo, Andrea (57216990806); Custode, Leonardo Lucio (57216811714); Iacca, Giovanni (36682414000)",57216990806; 57216811714; 36682414000,Quality Diversity Evolutionary Learning of Decision Trees,2023,Proceedings of the ACM Symposium on Applied Computing,,,,425,432,7,7,10.1145/3555776.3577591,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162929760&doi=10.1145%2f3555776.3577591&partnerID=40&md5=337a56278529d2f83030411962eab2b0,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85162929760
Bacciu D.; Numeroso D.,"Bacciu, Davide (23395838700); Numeroso, Danilo (57220951149)",23395838700; 57220951149,Explaining Deep Graph Networks via Input Perturbation,2023,IEEE Transactions on Neural Networks and Learning Systems,34,12,,10334,10345,11,4,10.1109/TNNLS.2022.3165618,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128637302&doi=10.1109%2fTNNLS.2022.3165618&partnerID=40&md5=8e4fc3a835868a59a066def3e10610ec,Article,Final,,Scopus,2-s2.0-85128637302
Zhao C.; Chen F.; Wu X.; Chen H.; Zhou J.,"Zhao, Chen (57214673946); Chen, Feng (55954312400); Wu, Xintao (8426129400); Chen, Haifeng (35241923100); Zhou, Jiayu (57201959673)",57214673946; 55954312400; 8426129400; 35241923100; 57201959673,2nd Workshop on Ethical Artificial Intelligence: Methods and Applications (EAI),2023,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,,5903,5904,1,0,10.1145/3580305.3599215,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171372949&doi=10.1145%2f3580305.3599215&partnerID=40&md5=3bb076b0bded0e2d582bd0c479dcfd71,Conference paper,Final,,Scopus,2-s2.0-85171372949
Diehl C.; Sievernich T.S.; Kruger M.; Hoffmann F.; Bertram T.,"Diehl, Christopher (57219788043); Sievernich, Timo Sebastian (57220482285); Kruger, Martin (57211300110); Hoffmann, Frank (36183891000); Bertram, Torsten (56262850600)",57219788043; 57220482285; 57211300110; 36183891000; 56262850600,Uncertainty-Aware Model-Based Offline Reinforcement Learning for Automated Driving,2023,IEEE Robotics and Automation Letters,8,2,,1167,1174,7,6,10.1109/LRA.2023.3236579,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147289589&doi=10.1109%2fLRA.2023.3236579&partnerID=40&md5=13fde513ba345e395b8b8c6bdb679b33,Article,Final,,Scopus,2-s2.0-85147289589
Chen J.; Wang X.; Zhang Y.; Zheng H.; Yu S.; Bao L.,"Chen, Jinyin (12794406900); Wang, Xueke (57221290162); Zhang, Yan (57839462600); Zheng, Haibin (57202093207); Yu, Shanqing (7405728956); Bao, Liang (57221594295)",12794406900; 57221290162; 57839462600; 57202093207; 7405728956; 57221594295,Agent manipulator: Stealthy strategy attacks on deep reinforcement learning,2023,Applied Intelligence,53,10,,12831,12858,27,3,10.1007/s10489-022-03882-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139104479&doi=10.1007%2fs10489-022-03882-w&partnerID=40&md5=755626e8cf6f81f51f1ea00df98f150a,Article,Final,,Scopus,2-s2.0-85139104479
Zhang H.; Wang H.; Kan Z.,"Zhang, Hao (57865258600); Wang, Hao (55850181600); Kan, Zhen (36548225700)",57865258600; 55850181600; 36548225700,Exploiting Transformer in Sparse Reward Reinforcement Learning for Interpretable Temporal Logic Motion Planning,2023,IEEE Robotics and Automation Letters,8,8,,4831,4838,7,4,10.1109/LRA.2023.3290511,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163542111&doi=10.1109%2fLRA.2023.3290511&partnerID=40&md5=8cfeeae9e20ff4d003b1afe83c8a3379,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85163542111
Luan S.; Gu Z.; Xu R.; Zhao Q.; Chen G.,"Luan, Siyu (57238638700); Gu, Zonghua (21742538500); Xu, Rui (57220778236); Zhao, Qingling (55884846100); Chen, Gang (57114117700)",57238638700; 21742538500; 57220778236; 55884846100; 57114117700,LRP-based network pruning and policy distillation of robust and non-robust DRL agents for embedded systems,2023,Concurrency and Computation: Practice and Experience,35,19,e7351,,,,3,10.1002/cpe.7351,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139981238&doi=10.1002%2fcpe.7351&partnerID=40&md5=b337a0f44557fc4ce04eb807a640c33b,Conference paper,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85139981238
Xing J.; Nagata T.; Zou X.; Neftci E.; Krichmar J.L.,"Xing, Jinwei (57201795919); Nagata, Takashi (57222256930); Zou, Xinyun (57196342869); Neftci, Emre (36444841100); Krichmar, Jeffrey L. (6602090791)",57201795919; 57222256930; 57196342869; 36444841100; 6602090791,Achieving efficient interpretability of reinforcement learning via policy distillation and selective input gradient regularization,2023,Neural Networks,161,,,228,241,13,8,10.1016/j.neunet.2023.01.025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147845602&doi=10.1016%2fj.neunet.2023.01.025&partnerID=40&md5=0c35f86309a5bd066ae51364399170fd,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85147845602
Sun Y.; Zhang K.; Sun C.,"Sun, Yuewen (57202369121); Zhang, Kun (55377020400); Sun, Changyin (35249817500)",57202369121; 55377020400; 35249817500,Model-Based Transfer Reinforcement Learning Based on Graphical Model Representations,2023,IEEE Transactions on Neural Networks and Learning Systems,34,2,,1035,1048,13,9,10.1109/TNNLS.2021.3107375,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115709304&doi=10.1109%2fTNNLS.2021.3107375&partnerID=40&md5=224f9b3168e9f94983cb604a5fe5da08,Article,Final,,Scopus,2-s2.0-85115709304
Porotti R.; Peano V.; Marquardt F.,"Porotti, Riccardo (57194069188); Peano, Vittorio (9433696100); Marquardt, Florian (8916332700)",57194069188; 9433696100; 8916332700,Gradient-Ascent Pulse Engineering with Feedback,2023,PRX Quantum,4,3,30305,,,,10,10.1103/PRXQuantum.4.030305,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167867024&doi=10.1103%2fPRXQuantum.4.030305&partnerID=40&md5=d582431264645c0f7504069e4fff2f90,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85167867024
Feng J.; Shi T.; Wu Y.; Xie X.; He H.; Tan H.,"Feng, Jianshuai (36987809400); Shi, Tianyu (57313670800); Wu, Yuankai (56097892900); Xie, Xiang (57056770700); He, Hongwen (7402291608); Tan, Huachun (12345335100)",36987809400; 57313670800; 56097892900; 57056770700; 7402291608; 12345335100,Multi-Lane Differential Variable Speed Limit Control via Deep Neural Networks Optimized by an Adaptive Evolutionary Strategy,2023,Sensors,23,10,4659,,,,2,10.3390/s23104659,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160442845&doi=10.3390%2fs23104659&partnerID=40&md5=80502d732d38b64e6eb79ee41d2d1e25,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85160442845
Rietz F.; Magg S.; Heintz F.; Stoyanov T.; Wermter S.; Stork J.A.,"Rietz, Finn (57226406078); Magg, Sven (56028559500); Heintz, Fredrik (6603720152); Stoyanov, Todor (6602422245); Wermter, Stefan (7003826680); Stork, Johannes A. (36464315800)",57226406078; 56028559500; 6603720152; 6602422245; 7003826680; 36464315800,Hierarchical goals contextualize local reward decomposition explanations,2023,Neural Computing and Applications,35,23,,16693,16704,11,5,10.1007/s00521-022-07280-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129803505&doi=10.1007%2fs00521-022-07280-8&partnerID=40&md5=c1b7cd947e0e27c33029ffdd85979766,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85129803505
Singh U.P.; Kumari B.; Goyal D.; Afrid M.,"Singh, Uday Pratap (36437824700); Kumari, Bersha (59144186200); Goyal, Dinesh (57211719867); Afrid, Mohd (59143544800)",36437824700; 59144186200; 57211719867; 59143544800,Exploring Novel Machine Learning Approaches for Cheat Detection in Competitive Gaming,2023,ACM International Conference Proceeding Series,,,131,,,,0,10.1145/3647444.3652434,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194176603&doi=10.1145%2f3647444.3652434&partnerID=40&md5=309f45f9de9851989723511d8841247f,Conference paper,Final,,Scopus,2-s2.0-85194176603
Bing Q.; Zhu Q.; Dou Z.,"Bing, Qingyu (58134132900); Zhu, Qiannan (57702354000); Dou, Zhicheng (24722777200)",58134132900; 57702354000; 24722777200,Cognition-aware Knowledge Graph Reasoning for Explainable Recommendation,2023,WSDM 2023 - Proceedings of the 16th ACM International Conference on Web Search and Data Mining,,,,402,410,8,2,10.1145/3539597.3570391,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149615757&doi=10.1145%2f3539597.3570391&partnerID=40&md5=23aaad09a68bdbcaf2058baf1dacdc93,Conference paper,Final,,Scopus,2-s2.0-85149615757
Guan Y.; Ren Y.; Sun Q.; Li S.E.; Ma H.; Duan J.; Dai Y.; Cheng B.,"Guan, Yang (57217749088); Ren, Yangang (57204934401); Sun, Qi (57200183855); Li, Shengbo Eben (15065803700); Ma, Haitong (57209244450); Duan, Jingliang (57195486647); Dai, Yifan (52263449300); Cheng, Bo (36611317200)",57217749088; 57204934401; 57200183855; 15065803700; 57209244450; 57195486647; 52263449300; 36611317200,Integrated Decision and Control: Toward Interpretable and Computationally Efficient Driving Intelligence,2023,IEEE Transactions on Cybernetics,53,2,,859,873,14,34,10.1109/TCYB.2022.3163816,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128690165&doi=10.1109%2fTCYB.2022.3163816&partnerID=40&md5=b53c242a46b169aa30bf287b87919ace,Article,Final,,Scopus,2-s2.0-85128690165
Balloccu G.; Boratto L.; Fenu G.; Marras M.,"Balloccu, Giacomo (57667640500); Boratto, Ludovico (35106859100); Fenu, Gianni (24469552000); Marras, Mirko (57193883534)",57667640500; 35106859100; 24469552000; 57193883534,Reinforcement recommendation reasoning through knowledge graphs for explanation path quality,2023,Knowledge-Based Systems,260,,110098,,,,16,10.1016/j.knosys.2022.110098,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143981455&doi=10.1016%2fj.knosys.2022.110098&partnerID=40&md5=42dcde7d60b605d352984f5cc019659d,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85143981455
Zhang T.; Wang X.; Zhou D.; Schuurmans D.; Gonzalez J.E.,"Zhang, Tianjun (57208298924); Wang, Xuezhi (36698345900); Zhou, Denny (57210638147); Schuurmans, Dale (57204335408); Gonzalez, Joseph E. (57200981709)",57208298924; 36698345900; 57210638147; 57204335408; 57200981709,TEMPERA: TEST-TIME PROMPT EDITING VIA REINFORCEMENT LEARNING,2023,"11th International Conference on Learning Representations, ICLR 2023",,,,,,,19,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199910247&partnerID=40&md5=aba096c7a5f0f54b9af02f9551728849,Conference paper,Final,,Scopus,2-s2.0-85199910247
Zhao C.; Deng C.; Liu Z.; Zhang J.; Wu Y.; Wang Y.; Yi X.,"Zhao, Chenjing (58554282100); Deng, Chuanshuai (58089447800); Liu, Zhenghui (58553191200); Zhang, Jiexin (57191035562); Wu, Yunlong (56037377300); Wang, Yanzhen (53464207200); Yi, Xiaodong (56784996600)",58554282100; 58089447800; 58553191200; 57191035562; 56037377300; 53464207200; 56784996600,Interpretable Reinforcement Learning of Behavior Trees,2023,ACM International Conference Proceeding Series,,,,492,499,7,1,10.1145/3587716.3587798,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173843170&doi=10.1145%2f3587716.3587798&partnerID=40&md5=e16a874bd4c6f9cd5a10e6e853bd8fe5,Conference paper,Final,,Scopus,2-s2.0-85173843170
Kenny E.M.; Tucker M.; Shah J.A.,"Kenny, Eoin M. (57211167952); Tucker, Mycal (57219643759); Shah, Julie A. (19640414800)",57211167952; 57219643759; 19640414800,TOWARDS INTERPRETABLE DEEP REINFORCEMENT LEARNING WITH HUMAN-FRIENDLY PROTOTYPES,2023,"11th International Conference on Learning Representations, ICLR 2023",,,,,,,9,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199876649&partnerID=40&md5=63f49c23d3e247b321a79c0e0f90d13a,Conference paper,Final,,Scopus,2-s2.0-85199876649
Crespi M.; Ferigo A.; Custode L.L.; Iacca G.,"Crespi, Marco (57982284500); Ferigo, Andrea (57216990806); Custode, Leonardo Lucio (57216811714); Iacca, Giovanni (36682414000)",57982284500; 57216990806; 57216811714; 36682414000,A population-based approach for multi-agent interpretable reinforcement learning,2023,Applied Soft Computing,147,,110758,,,,4,10.1016/j.asoc.2023.110758,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168798217&doi=10.1016%2fj.asoc.2023.110758&partnerID=40&md5=bbbfc9db0708dd34797b18fe5ff429bd,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85168798217
Motokawa Y.; Sugawara T.,"Motokawa, Yoshinari (57271653500); Sugawara, Toshiharu (7201751518)",57271653500; 7201751518,eDA3-X: Distributed Attentional Actor Architecture for Interpretability of Coordinated Behaviors in Multi-Agent Systems,2023,Applied Sciences (Switzerland),13,14,8454,,,,0,10.3390/app13148454,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166207034&doi=10.3390%2fapp13148454&partnerID=40&md5=8b505edab2a2f1df46ac27b74be57c6d,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85166207034
Jung H.; Kim S.; Park H.,"Jung, Heesoo (58119721100); Kim, Sangpil (57200621234); Park, Hogun (36053810700)",58119721100; 57200621234; 36053810700,Dual Policy Learning for Aggregation Optimization in Graph Neural Network-based Recommender Systems,2023,"ACM Web Conference 2023 - Proceedings of the World Wide Web Conference, WWW 2023",,,,1478,1488,10,2,10.1145/3543507.3583241,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159322024&doi=10.1145%2f3543507.3583241&partnerID=40&md5=f664fafad2f01dab2ca1f24d82757778,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85159322024
Zhang F.; Liu J.; Zhang Q.; Sun E.; Xie J.; Zha Z.-J.,"Zhang, Fanrui (58573890800); Liu, Jiawei (57191902055); Zhang, Qiang (58491268500); Sun, Esther (58744627100); Xie, Jingyi (57215774492); Zha, Zheng-Jun (36626639900)",58573890800; 57191902055; 58491268500; 58744627100; 57215774492; 36626639900,ECENet: Explainable and Context-Enhanced Network for Muti-modal Fact verification,2023,MM 2023 - Proceedings of the 31st ACM International Conference on Multimedia,,,,1231,1240,9,3,10.1145/3581783.3612183,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179557270&doi=10.1145%2f3581783.3612183&partnerID=40&md5=feaafe5c42a749dc14e9180da935cab2,Conference paper,Final,,Scopus,2-s2.0-85179557270
Seo S.; Park J.; Ko S.-W.; Choi J.; Bennis M.; Kim S.-L.,"Seo, Sejin (57215314999); Park, Jihong (57195605503); Ko, Seung-Woo (35810749300); Choi, Jinho (7501393707); Bennis, Mehdi (23007914800); Kim, Seong-Lyun (8626918100)",57215314999; 57195605503; 35810749300; 7501393707; 23007914800; 8626918100,Toward Semantic Communication Protocols: A Probabilistic Logic Perspective,2023,IEEE Journal on Selected Areas in Communications,41,8,,2670,2686,16,6,10.1109/JSAC.2023.3288268,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162910715&doi=10.1109%2fJSAC.2023.3288268&partnerID=40&md5=6f7f906e4225e7db52bdfd40e92e2d45,Article,Final,,Scopus,2-s2.0-85162910715
Yamaguchi T.,"Yamaguchi, Tomohiro (35306143500)",35306143500,The explainable model to multi-objective reinforcement learning toward an autonomous smart system,2023,Perspectives and Considerations on the Evolution of Smart Systems,,,,18,34,16,0,10.4018/978-1-6684-7684-0.ch002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169528559&doi=10.4018%2f978-1-6684-7684-0.ch002&partnerID=40&md5=d9760f73e4f518030ad951d1ffbef465,Book chapter,Final,,Scopus,2-s2.0-85169528559
Brawer J.; Ghose D.; Candon K.; Qin M.; Roncone A.; Vázquez M.; Scassellati B.,"Brawer, Jake (57202049270); Ghose, Debasmita (57194409952); Candon, Kate (57343015100); Qin, Meiying (57208160852); Roncone, Alessandro (56641523600); Vázquez, Marynel (37017787700); Scassellati, Brian (57203072853)",57202049270; 57194409952; 57343015100; 57208160852; 56641523600; 37017787700; 57203072853,Interactive policy shaping for human-robot collaboration with transparent matrix overlays,2023,ACM/IEEE International Conference on Human-Robot Interaction,,,,525,533,8,4,10.1145/3568162.3576983,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150350763&doi=10.1145%2f3568162.3576983&partnerID=40&md5=dc57c3cac68262cf834eb6e42125fa37,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85150350763
Wang J.; Sun L.,"Wang, Jiawei (57216909608); Sun, Lijun (55354735400)",57216909608; 55354735400,Robust Dynamic Bus Control: a Distributional Multi-Agent Reinforcement Learning Approach,2023,IEEE Transactions on Intelligent Transportation Systems,24,4,,4075,4088,13,1,10.1109/TITS.2022.3229527,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146240787&doi=10.1109%2fTITS.2022.3229527&partnerID=40&md5=2f7acdeda25b52e240c8532baf6f0860,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85146240787
Dazeley R.; Vamplew P.; Cruz F.,"Dazeley, Richard (6507048982); Vamplew, Peter (9279870300); Cruz, Francisco (57190723414)",6507048982; 9279870300; 57190723414,Explainable reinforcement learning for broad-XAI: a conceptual framework and survey,2023,Neural Computing and Applications,35,23,,16893,16916,23,10,10.1007/s00521-023-08423-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149843270&doi=10.1007%2fs00521-023-08423-1&partnerID=40&md5=0c64d81eed90fe4029e12b7b45ba70ec,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85149843270
,,,"Proceedings of the 2023 6th International Conference on Software Engineering and Information Management, ICSIM 2023",2023,ACM International Conference Proceeding Series,,,,,,295,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166021293&partnerID=40&md5=14579477e47788ce33dc26a408ac957f,Conference review,Final,,Scopus,2-s2.0-85166021293
Siyao L.; Yu W.; Gu T.; Lin C.; Wang Q.; Qian C.; Loy C.C.; Liu Z.,"Siyao, Li (57215972045); Yu, Weijiang (57211681215); Gu, Tianpei (57232673500); Lin, Chunze (57204294626); Wang, Quan (57216212336); Qian, Chen (57204290076); Loy, Chen Change (25522308800); Liu, Ziwei (56437024900)",57215972045; 57211681215; 57232673500; 57204294626; 57216212336; 57204290076; 25522308800; 56437024900,Bailando++: 3D Dance GPT With Choreographic Memory,2023,IEEE Transactions on Pattern Analysis and Machine Intelligence,45,12,,14192,14207,15,3,10.1109/TPAMI.2023.3319435,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173064445&doi=10.1109%2fTPAMI.2023.3319435&partnerID=40&md5=7f34a195fd978f9af6ffcb22d2a3e0b5,Article,Final,,Scopus,2-s2.0-85173064445
Milani R.; Moll M.; De Leone R.; Pickl S.,"Milani, Rudy (58119183100); Moll, Maximilian (57191258145); De Leone, Renato (6603638246); Pickl, Stefan (6603830489)",58119183100; 57191258145; 6603638246; 6603830489,A Bayesian Network Approach to Explainable Reinforcement Learning with Distal Information,2023,Sensors,23,4,2013,,,,2,10.3390/s23042013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148975186&doi=10.3390%2fs23042013&partnerID=40&md5=77a707589164206225a788dda550c78a,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85148975186
Jiang H.; Li C.; Cai J.; Wang J.,"Jiang, Hao (58596338400); Li, Chuanzhen (35069778000); Cai, Juanjuan (36924559900); Wang, Jingling (35070622600)",58596338400; 35069778000; 36924559900; 35070622600,RCENR: A Reinforced and Contrastive Heterogeneous Network Reasoning Model for Explainable News Recommendation,2023,SIGIR 2023 - Proceedings of the 46th International ACM SIGIR Conference on Research and Development in Information Retrieval,,,,1710,1720,10,3,10.1145/3539618.3591753,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168668405&doi=10.1145%2f3539618.3591753&partnerID=40&md5=6b445453e66658ffdd01a68999902131,Conference paper,Final,,Scopus,2-s2.0-85168668405
Jiang L.; Liu K.; Wang Y.; Wang D.; Wang P.; Fu Y.; Yin M.,"Jiang, Lu (57212447802); Liu, Kunpeng (57211744484); Wang, Yibin (57467005500); Wang, Dongjie (57219797695); Wang, Pengyang (57202061292); Fu, Yanjie (56355149400); Yin, Minghao (7202263901)",57212447802; 57211744484; 57467005500; 57219797695; 57202061292; 56355149400; 7202263901,Reinforced Explainable Knowledge Concept Recommendation in MOOCs,2023,ACM Transactions on Intelligent Systems and Technology,14,3,43,,,,7,10.1145/3579991,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161317596&doi=10.1145%2f3579991&partnerID=40&md5=0a543726e71ac9c13c26b7434d6acb27,Article,Final,,Scopus,2-s2.0-85161317596
